item,name,lat,lon,image
http://www.wikidata.org/entity/Q4467693,Тюрьма Трубецкого бастиона,59.948466,30.3132,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%A2%D1%8E%D1%80%D1%8C%D0%BC%D0%B0%20%D0%A2%D1%80%D1%83%D0%B1%D0%B5%D1%86%D0%BA%D0%BE%D0%B3%D0%BE%20%D0%B1%D0%B0%D1%81%D1%82%D0%B8%D0%BE%D0%BD%D0%B0%20%D0%B2%D1%85%D0%BE%D0%B4.jpg
http://www.wikidata.org/entity/Q4146889,Государственный музей истории религии,59.931699,30.301222,http://commons.wikimedia.org/wiki/Special:FilePath/Muziy%20SPb%202010%203232.jpg
http://www.wikidata.org/entity/Q55658483,Мемориальный кабинет Луначарского,55.743872222222,37.587452777778,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%94%D0%BE%D0%BC%2C%20%D0%B3%D0%B4%D0%B5%20%D0%B6%D0%B8%D0%BB%20%D0%9B%D1%83%D0%BD%D0%B0%D1%87%D0%B0%D1%80%D1%81%D0%BA%D0%B8%D0%B9.jpg
http://www.wikidata.org/entity/Q4306039,Музей-институт семьи Рерихов в Санкт-Петербурге,59.9316,30.2722,http://commons.wikimedia.org/wiki/Special:FilePath/Muzey%20Sankt-Peterburg%202011%203144%202.jpg
http://www.wikidata.org/entity/Q59155915,Главное здание Пушкинского музея,55.747155,37.605562,http://commons.wikimedia.org/wiki/Special:FilePath/Moscow%2005-2012%20Volkhonka%2003.jpg
http://www.wikidata.org/entity/Q2066165,Музей Анны Ахматовой в Фонтанном доме,59.935941,30.346591,http://commons.wikimedia.org/wiki/Special:FilePath/Muzeum%20SPb%202011%203512.jpg
http://www.wikidata.org/entity/Q190445,Центральный музей Военно-воздушных сил РФ,55.842778,38.181389,http://commons.wikimedia.org/wiki/Special:FilePath/Aviation%20museum%20in%20Monino.jpg
http://www.wikidata.org/entity/Q55663923,Квартира - музей  П. А. Флоренского,55.738987,37.580616,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%9C%D1%83%D0%B7%D0%B5%D0%B9%20%D0%A4%D0%BB%D0%BE%D1%80%D0%B5%D0%BD%D1%81%D0%BA%D0%BE%D0%B3%D0%BE%203.jpg
http://www.wikidata.org/entity/Q1093757,Дом Набокова,59.9319,30.3049,http://commons.wikimedia.org/wiki/Special:FilePath/St-Petersburg.%20Nabokovs%20house.jpg
http://www.wikidata.org/entity/Q24930381,Музей «Невская застава»,59.865722,30.460056,http://commons.wikimedia.org/wiki/Special:FilePath/SPbRussia%20HouseOf%20Shelgunov%20Museum.jpg
